,Date,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore,ema_short,ema_long,transition,velas_posteriores,price_entry_long,price_entry_short,entrys,entry_dates_candle,static_tp,static_sl,static_tp_confirm,static_sl_confirm,static_tp_percent,static_sl_percent,date_tp_sl,dif_percent_long_to_tp,dif_percent_long_to_sl,dif_percent_short_to_tp,dif_percent_short_to_sl
7587,2025-01-02 08:15:00,3463.14,3464.39,3461.0,3462.99,4495.475,2025-01-02 08:19:59.999000-03:00,15566056.26418,9624,1617.055,5599106.96186,0,3465.1876411294343,3445.1638602388657,,0,,,0,,,,0,0,0.0,-0.0,,0.0,-0.0,0.0,-0.0
7588,2025-01-02 08:20:00,3463.0,3465.39,3458.83,3459.19,7325.733,2025-01-02 08:24:59.999000-03:00,25357736.30092,13405,3469.138,12010444.90388,0,3464.0971609240823,3445.713904935381,,0,,,0,,,,0,0,0.0,-0.0,,0.0,-0.0,0.0,-0.0
7589,2025-01-02 08:25:00,3459.2,3465.58,3456.44,3465.12,6677.158,2025-01-02 08:29:59.999000-03:00,23109459.91638,11753,3993.108,13822586.46524,0,3464.283131665158,3446.4749282712487,,0,,,0,,,,0,0,0.0,-0.0,,0.0,-0.0,0.0,-0.0
7590,2025-01-02 08:30:00,3465.11,3469.05,3464.76,3468.51,5628.577,2025-01-02 08:34:59.999000-03:00,19515205.87729,11797,3215.491,11148728.75741,0,3465.0516531805843,3447.3390487312,,0,,,0,,,,0,0,0.0,-0.0,,0.0,-0.0,0.0,-0.0
7591,2025-01-02 08:35:00,3468.52,3472.0,3468.28,3470.79,4869.892,2025-01-02 08:39:59.999000-03:00,16899805.74373,8567,3030.836,10517818.63631,0,3466.0949889659323,3448.258693878996,,0,,,0,,,,0,0,0.0,-0.0,,0.0,-0.0,0.0,-0.0
7592,2025-01-02 08:40:00,3470.8,3471.57,3468.55,3471.0,3004.803,2025-01-02 08:44:59.999000-03:00,10427719.80529,7119,1458.77,5062505.63671,0,3466.9868091539447,3449.15050980531,,0,,,0,,,,0,0,0.0,-0.0,,0.0,-0.0,0.0,-0.0
7593,2025-01-02 08:45:00,3471.0,3475.0,3470.99,3472.64,9806.741,2025-01-02 08:49:59.999000-03:00,34062783.2693,12199,6295.125,21865106.09794,0,3468.0146620350456,3450.071666283533,,0,,,0,,,,0,0,0.0,-0.0,,0.0,-0.0,0.0,-0.0
7594,2025-01-02 08:50:00,3472.64,3472.65,3467.09,3469.55,6041.269,2025-01-02 08:54:59.999000-03:00,20956672.40789,9537,1201.238,4167144.51602,0,3468.29381439231,3450.835522507708,,0,,,0,,,,0,0,0.0,-0.0,,0.0,-0.0,0.0,-0.0
7595,2025-01-02 08:55:00,3469.55,3473.43,3469.27,3470.57,3200.978,2025-01-02 08:59:59.999000-03:00,11110987.89194,6823,1070.509,3715882.4047,0,3468.707666320981,3451.6094235858372,,0,,,0,,,,0,0,0.0,-0.0,,0.0,-0.0,0.0,-0.0
7596,2025-01-02 09:00:00,3470.58,3474.0,3470.58,3473.67,8329.63,2025-01-02 09:04:59.999000-03:00,28927286.45577,10734,5625.737,19536972.73569,0,3469.6099088080755,3452.47454422953,,0,,,0,,,,0,0,0.0,-0.0,,0.0,-0.0,0.0,-0.0
